WERKS,LIFNR,MATNR,TXZ01,MENGE,MEINS,BEDAT,NETWR,WAERS,EKGRP,KOSTL
1000,VEND-DE-0042,MAT-STEEL-101,Cold Rolled Steel Sheet (S235),12500.000,KG,08.01.2024,18750.00,EUR,EK1,KOST-1010
1000,VEND-DE-0042,MAT-STEEL-101,Cold Rolled Steel Sheet (S235),15200.000,KG,22.01.2024,22800.00,EUR,EK1,KOST-1010
1000,VEND-DE-0042,MAT-STEEL-101,Cold Rolled Steel Sheet (S235),11800.000,KG,12.02.2024,17700.00,EUR,EK1,KOST-1010
1000,VEND-DE-0042,MAT-STEEL-101,Cold Rolled Steel Sheet (S235),13600.000,KG,05.03.2024,20400.00,EUR,EK1,KOST-1010
1000,VEND-CN-0108,MAT-ALUM-202,Aluminium Alloy 6061-T6 (Ingot),4200.000,KG,10.01.2024,21000.00,EUR,EK1,KOST-1011
1000,VEND-CN-0108,MAT-ALUM-202,Aluminium Alloy 6061-T6 (Ingot),3900.000,KG,15.02.2024,19500.00,EUR,EK1,KOST-1011
1000,VEND-CN-0108,MAT-ALUM-202,Aluminium Alloy 6061-T6 (Ingot),4500.000,KG,20.03.2024,22500.00,EUR,EK1,KOST-1011
2000,VEND-UK-0055,MAT-PLAST-303,High-Density Polyethylene (HDPE) Granules,8750.000,KG,06.01.2024,13125.00,EUR,EK2,KOST-2010
2000,VEND-UK-0055,MAT-PLAST-303,High-Density Polyethylene (HDPE) Granules,9200.000,KG,05.02.2024,13800.00,EUR,EK2,KOST-2010
2000,VEND-UK-0055,MAT-PLAST-303,High-Density Polyethylene (HDPE) Granules,8100.000,KG,04.03.2024,12150.00,EUR,EK2,KOST-2010
2000,VEND-DE-0089,MAT-CHEM-404,Isopropanol (IPA) 99.8% purity,3200.000,L,12.01.2024,9600.00,EUR,EK2,KOST-2011
2000,VEND-DE-0089,MAT-CHEM-404,Isopropanol (IPA) 99.8% purity,2950.000,L,14.02.2024,8850.00,EUR,EK2,KOST-2011
2000,VEND-DE-0089,MAT-CHEM-404,Isopropanol (IPA) 99.8% purity,3400.000,L,11.03.2024,10200.00,EUR,EK2,KOST-2011
3000,VEND-PL-0201,MAT-PACK-505,Corrugated Cardboard Boxes (B-flute),45000.000,ST,03.01.2024,6750.00,EUR,EK3,KOST-3010
3000,VEND-PL-0201,MAT-PACK-505,Corrugated Cardboard Boxes (B-flute),48000.000,ST,01.02.2024,7200.00,EUR,EK3,KOST-3010
3000,VEND-PL-0201,MAT-PACK-505,Corrugated Cardboard Boxes (B-flute),42000.000,ST,01.03.2024,6300.00,EUR,EK3,KOST-3010
1000,VEND-IT-0333,MAT-COPP-606,Copper Wire 6mm2 (EN 13602),1800.000,KG,18.01.2024,19800.00,EUR,EK1,KOST-1012
1000,VEND-IT-0333,MAT-COPP-606,Copper Wire 6mm2 (EN 13602),1650.000,KG,20.02.2024,18150.00,EUR,EK1,KOST-1012
1000,VEND-IT-0333,MAT-COPP-606,Copper Wire 6mm2 (EN 13602),1950.000,KG,18.03.2024,21450.00,EUR,EK1,KOST-1012
